,business_status,formatted_address,formatted_phone_number,rating,types,url,user_ratings_total,location,name
ChIJCfqtWbO535QR5ziyeZMIPiQ,OPERATIONAL,"BR 470, Km 141, Nº 6707 Brasil - Canta Galo, SC, 89163-020, Brazil",(47) 3525-0873,4.6,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2611534263416404199,51,"{'lat': -27.2037736, 'lng': -49.6348126}",Zanella Pneus
ChIJ8_Z_Rl2yIJURg-BfTtMzD1g,OPERATIONAL,"Av. João Antônio Besen, 137 - Centro, Antônio Carlos - SC, 88180-000, Brazil",(48) 3272-1893,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6345347382634340483,41,"{'lat': -27.5173012, 'lng': -48.77410159999999}",Ricky Auto Center
ChIJkY4Sc5i535QRYzP20dAnc6k,OPERATIONAL,"R. Gov. Ivo Silveira, 74 - Santana, Rio do Sul - SC, 89160-000, Brazil",(47) 3525-5048,4.5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=12210146792560800611,6,"{'lat': -27.2063242, 'lng': -49.62961929999999}",PJ Pneus
ChIJtTUwdr2535QRR6jl9N5o41U,OPERATIONAL,"Avenida, R. Gov. Ivo Silveira, 420 - Canta Galo, Rio do Sul - SC, 89160-000, Brazil",(47) 3525-8800,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6188905619737913415,147,"{'lat': -27.202999, 'lng': -49.63062739999999}",DPaschoal
ChIJEcuHwZe535QRpzgp1ARDG2Y,OPERATIONAL,"R. Elma Lenzi, 299 - Canta Galo, Rio do Sul - SC, 89160-000, Brazil",(47) 3521-1891,4.1,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=7357548104258238631,12,"{'lat': -27.203715, 'lng': -49.62649099999999}",Pneu Sul
ChIJ97vEIKS535QRjbyN7L8rnjw,OPERATIONAL,"R. Dom Bosco, 1077 - Centro, Rio do Sul - SC, 89160-117, Brazil",(47) 3521-3950,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=4367976791903419533,69,"{'lat': -27.2102931, 'lng': -49.6346906}",MENGA PNEUS
ChIJ5SvjqZi535QRnkDBxBQLvnU,OPERATIONAL,"Av. Oscar Barcelos, 2400 - Santana, Rio do Sul - SC, 89160-314, Brazil",(47) 3521-2020,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=8484230931840843934,30,"{'lat': -27.2096444, 'lng': -49.6285985}",Fama - Auto Center e Pneus
ChIJb-K-LwG535QR8RC7janIOvo,OPERATIONAL,"R. XV de Novembro - Centro, Rio do Sul - SC, 89160-000, Brazil",(47) 3522-6553,4.5,"['car_repair', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=18030944688684077297,49,"{'lat': -27.2238197, 'lng': -49.645626}",Geo Pneus
ChIJfVLWVpO535QRq5jQJzBgGVs,OPERATIONAL,"R. Francisco Russi, nº 100 - SALA 13 - Canta Galo, Rio do Sul - SC, 89163-071, Brazil",(47) 3531-9510,5,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=6564383691811887275,1,"{'lat': -27.2027992, 'lng': -49.6323999}",PneuBlack
ChIJJQN_h4a435QRts2g4isCOCQ,OPERATIONAL,"Rod. BR-470, 13901, Km 148 - Pamplona, Rio do Sul - SC, 89160-000, Brazil",(47) 3525-0066,4.9,"['car_repair', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=2609838371570240950,11,"{'lat': -27.2391148, 'lng': -49.6833112}",DVA VEÍCULOS - MICHELIN
